10001,Seymour,Fabac,Mr.,Male,4/30/94 0:00,706 Waco Dr,Waco,TX,76706,2544441234,cfabac@me.com,Attender,5/14/1995 0:00,4/14/1965 0:00,10/5/1992 0:00,Married
10002,Blake,Sims,Mr.,Male,12/13/89 0:00,112 8th Street,Waco,TX,76706,2541234565,bsims@gmail.com,Member,2/2/1985 0:00,3/23/1971 0:00,3/16/1981 0:00,Divorced
10003,Michelle,Flanaghan,Mrs.,Female,11/1/75 0:00,10 S 12th Street,Waco,TX,76706,2538027896,mflanaghan@yahoo.com,Staff,1/24/1966 0:00,7/10/2010 0:00,11/3/2012 0:00,Married
10004,Leo,Bindel,Mr.,Male,1/2/65 0:00,453 West Waco Dr,Waco,TX,76706,2534821227,lbindel@me.com,Member,10/22/2012 0:00,8/29/1998 0:00,6/10/1998 0:00,Seperated
10005,Kierston ,Nolte,Ms.,Female,5/6/08 0:00,1500 Fresno Place,Waco,TX,76706,2531614558,knolte@gmail.com,Member,11/2/1971 0:00,7/19/1980 0:00,7/15/1969 0:00,Not Applicable
10006,Emily,McCabe,Ms.,Female,4/5/98 0:00,988 Larkin Lane,Waco,TX,76706,2528407889,emccabe@yahoo.com,Archived,2/28/1985 0:00,4/3/1969 0:00,2/19/1965 0:00,Single
10007,David,Lee,Mr.,Male,8/9/83 0:00,234 S 4th Street,Waco,TX,76706,2525201220,dhenry@me.com,Minister,1/1/2003 0:00,11/18/1983 0:00,8/13/1974 0:00,Married
10008,Tony,Bennett,Mr.,Male,9/11/54 0:00,643 S 21st Street,Waco,TX,76706,2521994551,tbennett@gmail.com,Visitor,3/3/2014 0:00,7/19/2008 0:00,7/12/1979 0:00,Single
10009,Brett,Plattner,Mr.,Male,10/30/85 0:00,123 Overland Road,Waco,TX,76706,2518787882,bplattner@yahoo.com,Attender,8/11/2005 0:00,2/5/1969 0:00,8/9/1976 0:00,Single
10010,Cody,Yost,Mr.,Male,1/27/97 0:00,932 West Waco Dr,Waco,TX,76706,2515581213,cyost@me.com,Contact,7/15/1994 0:00,11/26/1979 0:00,11/15/1996 0:00,Married
10011,Connor,Duncan,Mr.,Male,4/13/67 0:00,543 Franklin Dr,Waco,TX,76706,2512374544,cduncan@gmail.com,Dependant ,11/14/1992 0:00,4/8/2013 0:00,6/3/1998 0:00,Married
10012,Brandon,Parker,Mr.,Male,3/25/00 0:00,89 Overture Court,Waco,TX,76706,2509167875,bparker@yahoo.com,Member,8/10/1985 0:00,1/10/1974 0:00,4/23/1962 0:00,Single
10013,Alyssa,Rodriguez,Mrs.,Female,3/29/94 0:00,199 S 2nd Street,Waco,TX,76706,2505961206,arodriguez@me.com,Member,6/3/1974 0:00,1/30/1962 0:00,7/21/1966 0:00,Married
10014,Emma,Popkess,Mrs.,Female,7/8/87 0:00,657 4th Street,Waco,TX,76706,2502754537,epopkess@gmail.com,Staff,6/25/1970 0:00,11/7/1973 0:00,5/16/2010 0:00,Married
10015,Eric,Hosmer,Mr.,Male,12/24/76 0:00,888 Fresno Place,Waco,TX,76706,2499547868,ehosmer@yahoo.com,Staff,11/11/1980 0:00,2/27/1985 0:00,7/31/1989 0:00,Single
10016,Mariah,Carey,Ms.,Female,2/13/96 0:00,111 S 12th Street,Waco,TX,76706,2496341199,mcarey@me.com,Attender,3/13/2001 0:00,3/8/1982 0:00,3/16/1979 0:00,Single
10017,Gary,Anderson,Mr.,Male,6/13/76 0:00,322 West Waco Dr,Waco,TX,76706,2493134530,ganderson@gmail.com,Archived,4/22/1974 0:00,11/25/1977 0:00,3/17/2009 0:00,Single
10018,Denise,Adams,Mrs.,Female,4/25/88 0:00,122 Larkin Lane,Waco,TX,76706,2489927861,dadams@yahoo.com,Dependant ,2/21/2001 0:00,1/7/1982 0:00,7/8/1962 0:00,Married
10019,Matt,Jones,Mr.,Male,1/17/69 0:00,444 S 21st Street,Waco,TX,76706,2486721192,mjones@me.com,Member,9/14/2000 0:00,2/12/1997 0:00,9/27/1968 0:00,Widowed
10020,Janelle,Smith,Ms.,Female,8/13/92 0:00,102 Overture Court,Waco,TX,76706,2483514523,jsmith@gmail.com,Member,5/22/1972 0:00,9/11/2004 0:00,6/25/1990 0:00,Unknown
10021,Judy ,Garry,Ms.,Female,3/28/94 0:00,1919 S 5th,Waco,TX,76706,2480307854,234@gmail.com,Contact,4/5/2015 0:00,2/6/2015 0:00,3/12/2016 0:00,Widowed
10022,Rusty ,Miles,Mr. ,Male,3/29/65 0:00,1920 S 5th,Waco,TX,76706,2477101185,235@gmail.com,Mnister,4/6/2015 0:00,3/7/2015 0:00,3/13/2016 0:00,Single
10023,Lola,Sterling,Ms.,Female,3/30/80 0:00,1921 S 5th,Waco,TX,76706,2473894516,236@gmail.com,Staff,4/7/2015 0:00,3/8/2015 0:00,3/14/2016 0:00,Single
10024,Albie,Bryon,Ms.,Female,3/31/76 0:00,1922 S 5th,Waco,TX,76706,2470687847,237@gmail.com,Staff,4/8/2015 0:00,3/9/2015 0:00,3/15/2016 0:00,Married
10025,Chandler,Torin,Mr. ,Male,4/1/89 0:00,1956 S 5th,Waco,TX,76706,2467481178,238@gmail.com,Archived,4/9/2015 0:00,2/10/2015 0:00,3/16/2016 0:00,Single
10026,Dottie,Bret,Ms.,Female,4/2/94 0:00,1978 S 5th,Waco,TX,76706,2464274509,239@gmail.com,Visitor,4/10/2015 0:00,2/11/2015 0:00,3/17/2016 0:00,Single
10027,Lorna,Orla,Ms.,Female,4/3/82 0:00,1989 S 5th,Waco,TX,76706,2461067840,240@gmail.com,Attender,4/11/2015 0:00,1/12/2015 0:00,3/18/2016 0:00,Married
10028,Colette,Lou,Ms.,Female,4/4/91 0:00,1911 S 5th,Waco,TX,76706,2457861171,241@gmail.com,Attender,4/12/2015 0:00,3/13/2015 0:00,3/17/2016 0:00,Divorced
10029,Sammy,Trent,Mr.,Male,4/5/97 0:00,1988 S 5th,Waco,TX,76706,2454654502,242@gmail.com,Contact,4/13/2015 0:00,2/14/2015 0:00,3/20/2016 0:00,Unknown
10030,Adrian,Nolan,Ms.,Female,4/6/90 0:00,1902 S 5th,Waco,TX,76706,2451447833,243@gmail.com,Attender,4/14/2015 0:00,1/15/2015 0:00,3/21/2016 0:00,Married
10031,Hillary,Dacey,Ms.,Female,4/7/87 0:00,1990 S 1th,Waco,TX,76706,2448241164,244@gmail.com,Attender,4/15/2015 0:00,2/16/2015 0:00,3/3/2016 0:00,Not applicable
10032,Lisa,Didi,Ms.,Female,4/8/89 0:00,1933 S 3th,Waco,TX,76706,2445034495,245@gmail.com,Attender,4/16/2015 0:00,1/17/2015 0:00,3/23/2016 0:00,Married
10033,Lulu,Eibhlin,Ms.,Female,4/9/63 0:00,1978 S 4th,Waco,TX,76706,2441827826,246@gmail.com,Contact,4/17/2015 0:00,3/18/2015 0:00,3/24/2016 0:00,Married
10034,Grace,Callen,Ms.,Female,4/10/45 0:00,1919 S 5th,Waco,TX,76706,2438621157,247@gmail.com,Dependent,4/18/2015 0:00,3/19/2015 0:00,3/12/2016 0:00,Single
10035,Flye,Nicholas,Mr.,Male,5/30/94 0:00,700 S 4th St,Waco,TX,76706,2435414488,nicholas.flye@gmail.com,Staff,3/31/2016 0:00,3/31/2016 0:00,12/31/2016 0:00,Single
10036,Noah,Trevor,Mr.,Male,5/31/94 0:00,701 S 4th St,Waco,TX,76706,2432207819,trevor.noah@gmail.com,Staff,4/15/2011 0:00,4/1/2016 0:00,12/31/2012 0:00,Unknown
10037,Valdez,Julie,Mrs.,Female,6/1/94 0:00,702 S 2nd St,Waco,TX,76706,2429001150,julie.valdez@gmail.com,Attender,4/16/2012 0:00,4/2/2016 0:00,12/31/2016 0:00,Unknown
10038,Taylor,Mack,Mr.,Male,6/2/94 0:00,703 S 4th St,Waco,TX,76706,2425794481,taylor.mack@gmail.com,Archived,4/17/2011 0:00,4/3/2016 0:00,12/31/2011 0:00,Single
10039,Scott,Jill,Ms.,Female,6/3/94 0:00,704 S 1st St,Waco,TX,76706,2422587812,jill.scott@gmail.com,Contract,4/18/2011 0:00,3/31/2012 0:00,12/31/2012 0:00,Single
10040,Knowles,Beyonce,Mrs.,Female,6/4/94 0:00,705 S 4th St,Waco,TX,76706,2419381143,beyonce.knowles@gmail.com,Contract,4/19/2014 0:00,3/10/2016 0:00,12/31/2016 0:00,Married
10041,Boykin,Justin,Mr.,Male,6/5/94 0:00,706 S 5th St,Waco,TX,76706,2416174474,justin.boykin@gmail.com,Dependent,4/20/2011 0:00,2/18/2014 0:00,12/31/2012 0:00,Divorced
10042,Troutman,Cory,Mr.,Male,6/6/94 0:00,707 S 4th St,Waco,TX,76706,2412967805,cory.troutman@gmail.com,Member,4/21/2012 0:00,3/31/2016 0:00,12/31/2016 0:00,Separated
10043,Biel,Jessica,Ms.,Female,6/7/94 0:00,708 S 4th St,Waco,TX,76706,2409761136,jessica.biel@gmail.com,Contract,4/22/2011 0:00,3/31/2016 0:00,12/31/2012 0:00,Widowed
10044,Ridley,Daisy,Ms.,Female,6/8/94 0:00,709 S 7th St,Waco,TX,76706,2406554467,daisy.ridley@gmail.com,Attender,4/23/2011 0:00,3/31/2013 0:00,12/31/2012 0:00,Single
10045,Boyega,Johnathan,Mr.,Male,6/9/94 0:00,710 S 4th St,Waco,TX,76706,2403347798,johnathan.boyega@gmail.com,Contract,4/24/2011 0:00,3/31/2016 0:00,11/5/2016 0:00,Single
10046,Hewitt,Simon,Mr.,Male,6/10/94 0:00,711 S 4th St,Waco,TX,76706,2400141129,simon.hewitt@gmail.com,Attender,4/25/2011 0:00,3/31/2014 0:00,12/3/2014 0:00,Single
10047,Myers,Michael,Mr.,Male,6/11/94 0:00,712 S 3rd St,Waco,TX,76706,2396934460,michael.myers@gmail.com,Attender,4/26/2011 0:00,3/31/2012 0:00,12/31/2013 0:00,Not applicable
10048,Ryan,Andrew,Mr.,Male,6/12/94 0:00,713 S 4th St,Waco,TX,76706,2393727791,andrew.ryan@gmail.com,Minister,4/27/2014 0:00,3/31/2016 0:00,12/31/2016 0:00,Single
10049,Jackson,Michael,Mr.,Male,6/13/94 0:00,714 S 8th St,Waco,TX,76706,2390521122,michael.jackson@gmail.com,Visitor,4/28/2010 0:00,5/30/2010 0:00,1/1/2017 0:00,Unknown
10050,Stan,Jackson,Mr.,Male,7/2/00 0:00,432 S 9th Street,Waco,TX,76706,2387314453,sjackson@gmail.com,Member,10/8/1970 0:00,1/26/1996 0:00,10/17/1992 0:00,Single
10051,Holly,Wilbanks,Mrs.,Female,4/23/85 14:18,782 Court Way,Waco,TX,98941,8172695215,aa@aol.com,Contact,4/1/2016 14:18,4/1/2016 14:18,4/23/2016 14:18,Married
